#,Data-set path,Unit Test Grade,ChatGPT Grade,Execution Time
221,00004_00006,100,50,1.7828687
222,00009_00003,60,80,1.5866953
223,00011_00001,100,65,1.8510636
224,00011_00002,100,67.5,2.0549694
225,00011_00003,100,50,1.9204478
226,00011_00004,100,75,2.046176
227,00011_00006,100,75,1.8943515
228,00011_00007,100,77.5,2.1131089
229,00013_00003,100,75,1.629378
230,00013_00004,100,95,1.5596379
231,00013_00005,100,80,1.5210001
232,00013_00006,100,87.5,1.7445006
233,00013_00007,100,90,1.4761951
234,00014_00001,100,80,1.9078531
235,00014_00002,100,97.5,1.8526409
236,00015_00001,20,22.5,0.1984588
237,00018_00001,100,85,2.8551038
238,00019_00001,100,76.5,1.9259158
239,00019_00002,100,75,2.1073465
240,00019_00003,100,80,2.8883773
241,00020_00005,100,80,0.4046306
242,00020_00006,100,85,0.2092669
243,00020_00007,100,82.5,0.1898597
244,00020_00008,100,87.5,0.403024
245,00020_00009,100,82.5,0.4418702
246,00029_00001,100,95,2.8560604
247,00033_00007,100,87.5,1.9254872
248,00033_00008,100,85,1.9462841
249,00035_00001,100,87.5,1.7355808
250,00035_00002,100,85,1.7035618
251,00035_00003,100,85,1.5880647
252,00037_00001,100,70,1.7844763
253,00037_00002,100,50,1.5411738
254,00040_00001,100,87.5,1.9094178
255,00041_00001,100,72.5,1.6759979
256,00047_00001,100,75,1.7320807
257,00047_00002,100,85,1.5125498
258,00047_00003,100,90,1.5150021
259,00053_00001,100,57.5,1.9384346
260,00053_00002,100,55,2.1119832
261,00053_00003,20,60,2.0006508
262,00053_00004,100,65,2.0989083
263,00054_00001,100,77.5,1.572435
264,00056_00003,100,87.5,1.6315138
265,00057_00001,100,97.5,1.7527745
266,00063_00001,100,90,2.0073023
267,00063_00002,100,90,1.9593681
268,00063_00003,100,92.5,1.8769571
269,00064_00001,100,75,1.9099316
270,00064_00002,100,67.5,2.1262244
271,00066_00003,20,50,0.1913537
272,00066_00004,60,25,0.2135076
273,00066_00005,100,50,0.2133637
274,00066_00006,100,45,0.2104617
275,00066_00007,100,42.5,0.1930368
276,00066_00008,100,57.5,0.2865253
277,00066_00009,100,57.5,0.1905896
278,00067_00001,50,25,0.3006741
279,00067_00002,50,0,0.3211883
280,00068_00001,0,50,0.4174517
281,00068_00002,0,30,0.3953691
282,00070_00005,0,15,0.4151465
283,00077_00001,100,50,1.5558974
284,00077_00002,100,50,1.6418704
285,00077_00003,100,45,1.6593478
286,00077_00004,100,47.5,1.5579191
287,00077_00005,100,60,1.5057807
288,00077_00006,100,32.5,1.7756418
289,00077_00007,100,35,1.5486964
290,00077_00008,100,45,1.6042569
291,00077_00009,100,52.5,1.4975434
292,00078_00001,0,35,0.3571881
293,00078_00002,0,52.5,0.3564637
294,00081_00001,100,52.5,2.0536834
295,00081_00002,100,50,1.9773401
296,00084_00001,100,75,1.6486636
297,00085_00001,100,87.5,1.6129745
298,00085_00002,100,82.5,1.632375
299,00086_00001,20,87.5,10.6148106
300,00087_00001,20,47.5,1.8870041
301,00087_00002,0,35,1.7118075
302,00087_00003,0,57.5,1.5600189
303,00087_00004,60,77.5,1.9165127
304,00087_00005,100,50,1.5881712
305,00087_00006,100,55,1.5637214
306,00090_00001,60,65,0.2105213
307,00093_00001,0,20,1.6167296
308,00096_00001,100,67.5,1.5371842
309,00096_00002,100,30,1.5799275
310,00096_00003,100,95,1.8884686
311,00096_00004,100,90,1.7617489
312,00096_00005,100,75,1.6559465
313,00096_00006,100,90,1.4753964
314,00096_00007,100,85,1.5279061
315,00096_00008,100,90,1.3839356
316,00097_00001,100,80,1.6089805
317,00097_00002,100,70,1.5026084
318,00098_00001,100,65,0.4094312
319,00101_00001,100,65,1.5513885
320,00102_00001,100,80,1.6582026
321,00102_00002,100,80,1.4437112
322,00103_00001,100,72.5,1.3474049
323,00103_00002,100,65,1.4417127
324,00106_00001,100,95,1.4292281
325,00109_00001,100,95,1.5143316
326,00109_00002,100,72.5,1.3513053
327,00116_00001,100,87.5,1.4386703
328,00116_00002,100,90,1.4238245
329,00116_00003,100,87.5,1.5202116
330,00120_00001,100,57.5,1.791842
331,00120_00002,100,55,1.7616684
332,00120_00003,100,50,1.7118214
333,00120_00004,100,50,1.7662676
334,00120_00005,100,45,1.6594746
335,00120_00006,100,57.5,2.1097407
336,00120_00007,100,57.5,1.6974191
337,00120_00008,100,55,1.7472507
338,00126_00001,100,92.5,1.4999591
339,00131_00001,100,75,1.7387551
340,00132_00001,100,100,1.5351967
341,00134_00001,100,100,1.6124656
342,00137_00001,100,65,11.5391586
343,00137_00002,100,67.5,11.6085881
344,00137_00003,100,67.5,11.5146684
345,00137_00004,100,62.5,11.6003398
346,00137_00005,100,80,1.3724184
347,00137_00006,100,77.5,1.4767792
348,00137_00007,100,67.5,1.4610432
349,00137_00008,100,70,1.4443706
350,00137_00009,100,82.5,1.4886086
351,00137_00010,100,70,1.4104675
352,00144_00001,100,85,1.6593804
353,00144_00002,100,95,1.3240727
354,00146_00001,100,95,1.4520317
355,00146_00002,100,77.5,1.4608115
356,00146_00003,100,77.5,1.4431154
357,00146_00004,100,85,1.3358599
358,00146_00005,100,90,1.3950437
359,00146_00006,100,87.5,1.2774666
360,00146_00007,100,95,1.3210325
361,00146_00008,100,85,1.3377866
362,00146_00009,100,85,1.4507127
363,00146_00010,100,92.5,1.3717367
364,00151_00001,100,82.5,1.2908742
365,00151_00002,100,80,1.4077663
366,00153_00001,100,87.5,1.338525
367,00153_00002,100,87.5,1.3023536
368,00153_00003,100,82.5,1.302152
369,00154_00001,100,72.5,0.171267
370,00155_00001,0,17.5,0.4952958
371,00162_00001,100,82.5,1.4495578
372,00164_00001,100,100,1.4049866
373,00164_00002,100,100,1.4670653
374,00164_00003,100,100,1.3387087
375,00164_00004,100,100,1.4773643
376,00164_00005,100,97.5,1.2804897
377,00169_00002,100,90,0.3465752
378,00171_00001,100,95,1.3349374
379,00175_00001,10,40,6.4304009
380,00178_00001,0,30,1.4495303
381,00179_00001,100,85,1.3078528
382,00179_00002,100,80,1.3659941
383,00180_00001,100,87.5,1.4047345
384,00181_00001,0,60,1.4868802
385,00182_00001,0,40,1.4795622
386,00183_00001,0,30,0.361546
387,00184_00001,0,62.5,1.5251949
388,00185_00001,0,62.5,1.4956125
389,00186_00001,0,0,0.369481
390,00189_00001,0,0,0.4414947
391,00189_00002,0,0,0.4649877
392,00189_00003,0,27.5,0.4225283
393,00189_00004,0,10,0.44285
394,00189_00005,0,22.5,0.5000542
395,00189_00006,0,10,0.4464491
396,00189_00008,0,0,0.4482514
397,00195_00001,100,95,1.4677018
398,00198_00001,60,100,1.4272852
399,00207_00001,100,90,1.3044903
400,00219_00001,100,92.5,1.3388143
401,00219_00002,100,85,1.5101032
402,00219_00003,100,87.5,1.3248922
403,00223_00001,20,55,1.3238514
404,00223_00002,100,85,1.4295347
405,00223_00003,100,65,1.5411831
406,00002_00001,100,87.5,1.6194368
407,00002_00002,100,87.5,1.6357942
408,00002_00003,100,90,1.6135608
409,00002_00004,100,100,1.656313
410,00009_00001,60,82.5,1.4916392
411,00009_00004,60,87.5,1.5468613
412,00011_00005,100,67.5,1.5451404
413,00012_00002,20,75,2.5058895
414,00013_00001,100,65,1.3965999
415,00013_00002,100,80,1.3438469
416,00015_00002,0,45,0.462317
417,00015_00003,0,5,0.4350842
418,00015_00004,0,15,0.4460015
419,00015_00005,0,5,0.44789
420,00015_00006,0,35,0.4396086
421,00017_00001,100,67.5,1.6864614
422,00020_00001,20,72.5,0.3251009
423,00020_00002,20,77.5,0.336465
424,00020_00003,100,77.5,0.3228676
425,00020_00004,100,75,0.3217562
426,00020_00010,100,80,0.3446058
427,00020_00011,100,80,0.3117842
428,00020_00012,100,67.5,0.3227404
429,00020_00013,100,85,0.3260804
430,00020_00014,100,95,0.3228795
431,00020_00015,100,87.5,0.3727669
432,00020_00016,100,85,0.3497896
433,00020_00017,100,77.5,0.3230578
434,00020_00018,100,82.5,0.3245228
435,00023_00001,20,45,0.2012964
436,00025_00001,20,85,1.6619959
437,00025_00002,20,90,2.2768653
438,00025_00003,20,92.5,2.5754253
439,00025_00004,20,90,2.5757856
440,00025_00005,20,20,2.9438866
441,00025_00006,20,95,2.8071366
442,00025_00007,20,90,2.7351284
443,00027_00001,60,25,0.1694456
444,00027_00002,20,42.5,0.1711969
445,00027_00003,60,85,1.4239607
446,00028_00001,0,0,0.4568538
447,00028_00002,0,0,0.4691749
448,00028_00003,0,0,0.4416949
449,00028_00005,0,0,0.4421556
450,00033_00001,100,70,1.6554985
451,00033_00002,100,67.5,1.6098075
452,00033_00003,100,70,1.5867092
453,00033_00004,100,67.5,1.7289343
454,00033_00005,100,52.5,1.85972
455,00033_00006,100,72.5,1.6196373
456,00033_00009,100,85,1.7262501
457,00033_00010,100,72.5,1.645874
458,00033_00011,100,70,1.655089
459,00034_00001,20,20,0.1789362
460,00038_00001,20,65,0.1685794
461,00042_00001,20,57.5,10.103692
462,00042_00002,100,85,1.8172938
463,00042_00003,100,85,1.6539513
464,00048_00002,0,32.5,0.4517902
465,00055_00001,20,67.5,1.7380712
466,00055_00002,100,90,1.7496452
467,00055_00003,100,85,1.6603467
468,00056_00001,0,20,0.4633707
469,00056_00002,0,17.5,0.4671567
470,00056_00004,0,25,0.5354699
471,00057_00002,100,90,1.4708773
472,00057_00003,100,100,1.410322
473,00061_00001,0,27.5,0.4522529
474,00061_00002,0,10,0.4705481
475,00061_00003,100,90,1.6285167
476,00061_00004,100,85,1.6210818
477,00066_00001,20,40,0.1784881
478,00066_00002,20,40,0.1717974
479,00066_00010,100,90,0.184139
480,00066_00011,100,82.5,0.1760074
481,00066_00012,100,77.5,1.4749142
482,00069_00001,20,92.5,1.3752399
483,00069_00002,100,92.5,1.3011593
484,00070_00001,100,70,0.168208
485,00070_00002,100,77.5,0.1743741
486,00070_00003,60,76,0.1799025
487,00070_00004,60,85,0.2093027
488,00070_00006,20,70,0.1958423
489,00070_00007,60,65,0.1720284
490,00080_00001,100,75,1.4331486
491,00080_00002,100,75,1.3849071
492,00087_00007,100,90,1.4805219
493,00087_00008,100,80,1.4535863
494,00087_00009,20,85,1.3988929
495,00087_00010,100,85,1.4814011
496,00087_00011,100,75,1.4326349
497,00087_00012,100,85,1.5342587
498,00087_00013,100,70,1.3965823
499,00088_00001,60,67.5,1.6808838
500,00088_00002,60,60,1.7279968
501,00088_00003,100,70,1.7629094
502,00088_00004,100,87.5,1.6899934
503,00088_00005,100,82.5,1.7192501
504,00088_00006,100,70,1.6767591
505,00099_00001,0,7.5,0.4779658
506,00101_00002,100,90,1.4183283
507,00105_00001,0,25,0.4705414
508,00105_00002,0,10,0.4257921
509,00112_00001,100,70,0.1803206
510,00127_00001,0,10,0.4343047
511,00127_00002,100,85,0.1700766
512,00127_00003,100,75,0.1694099
513,00127_00004,100,37.5,0.1683856
514,00127_00005,100,47.5,0.1815591
515,00134_00003,100,60,1.638966
516,00134_00004,100,82.5,3.1688102
517,00140_00001,100,75,2.6901354
518,00142_00001,0,0,0.4785172
519,00142_00002,0,30,0.5158925
520,00145_00001,100,95,1.526748
521,00145_00002,100,92.5,1.5526487
522,00150_00001,60,85,1.5304451
523,00150_00002,20,70,1.4085573
524,00150_00003,20,90,1.4886849
525,00150_00004,20,95,1.3619323
526,00151_00003,100,62.5,1.4317279
527,00151_00004,100,65,1.5673532
528,00152_00001,60,80,1.4534363
529,00155_00002,100,90,0.1694602
530,00155_00003,0,0,0.4640636
531,00155_00004,0,15,0.4822049
532,00157_00001,20,77.5,0.1722451
533,00159_00001,60,90,1.4952035
534,00160_00001,0,5,0.5328081
535,00167_00001,0,55,0.4870663
536,00167_00002,0,5,0.4531697
537,00169_00001,0,27.5,0.5112652
538,00169_00003,0,5,0.4925273
539,00169_00004,0,0,0.4609703
540,00177_00001,20,77.5,1.7425759
541,00190_00001,20,92.5,2.6536175
542,00191_00001,100,92.5,1.3931953
543,00210_00001,0,0,0.5276423
544,00215_00001,0,0,1.4481467
545,00217_00001,20,20,1.4771567
546,00217_00002,100,90,1.3584765
547,00000_00001,100,76.67,0.4605529
548,00001_00005,100,40,0.5309601
549,00002_00001,100,60,0.5709673
550,00003_00001,100,63.33,0.4855117
551,00004_00001,100,96.67,0.4712012
552,00005_00001,100,55,0.5155877
553,00006_00001,100,36.67,0.5626055
554,00007_00001,100,73.33,0.5315042
555,00008_00001,100,25,0.4993686
556,00009_00001,100,83.33,0.4791975
557,00010_00002,100,96.67,0.507548
558,00011_00001,100,33.33,0.4826654
559,00012_00003,100,100,0.5175272
560,00013_00006,100,38.33,0.5110424
561,00014_00016,100,40,0.4827694
562,00015_00001,100,26.67,0.538753
563,00016_00002,100,66.67,0.5078109
564,00017_00006,100,53.33,0.5324563
565,00018_00002,100,100,0.4654543
566,00019_00001,100,90,0.5051787
567,00020_00001,100,53.33,0.5476703
568,00021_00001,100,65,0.480079
569,00022_00001,100,93.33,0.5337712
570,00023_00001,100,26.67,0.5391276
571,00023_00002,100,23.33,0.5452877
572,00024_00001,0,43.33,2.1768069
573,00025_00002,100,40,0.5755553
574,00026_00001,100,90,0.5299308
575,00027_00003,100,40,0.5163816
576,00029_00002,100,100,2.2020714
577,00030_00006,100,76.67,0.5724694
578,00032_00001,100,90,2.0758309
579,00033_00001,100,86.67,2.0560211
580,00034_00001,100,83.33,2.4247876
581,00035_00001,100,93.33,2.8179972
582,00037_00001,100,35,0.2574991
583,00038_00002,100,86.67,2.2100517
584,00038_00004,100,76.67,2.1217391
585,00038_00005,100,86.67,2.4488169
586,00039_00001,100,96.67,2.113699
587,00039_00002,100,73.33,1.9953301
588,00040_00002,100,76.67,2.245912
589,00041_00002,100,100,2.5551002
590,00042_00001,100,80,2.1002877
591,00043_00002,100,100,2.7214202
592,00044_00002,100,70,2.1332739
593,00044_00004,100,100,1.9853641
594,00044_00005,100,80,2.2716379
595,00045_00001,100,93.33,2.6799307
596,00046_00002,100,100,2.6386268
597,00047_00001,100,95,2.7137803
598,00048_00001,100,96.67,2.6736753
599,00049_00001,100,93.33,2.7957895
600,00051_00002,100,95,2.706171
601,00052_00001,100,93.33,2.682474
602,00052_00002,100,90,2.8730747
603,00052_00005,100,96.67,2.7122734
604,00052_00007,100,100,2.7897185
605,00053_00001,100,90,2.1709033
606,00054_00001,100,86.67,2.1959679
607,00055_00002,100,96.67,2.0634583
608,00055_00003,100,95,2.1430552
609,00056_00001,100,23.33,1.9889528
610,00057_00001,100,70,2.4423048
611,00058_00003,100,73.33,2.1678116
612,00058_00004,100,40,2.1017683
613,00059_00001,100,90,2.1793308
614,00060_00001,100,68.33,1.9966051
615,00061_00001,100,93.33,2.0680158
616,00062_00001,100,78.33,2.6741854
617,00063_00001,100,96.67,2.1478721
618,00063_00002,100,100,2.3007056
619,00064_00001,100,53.33,2.1007285
620,00065_00001,100,63.33,2.1293132
621,00066_00001,100,76.67,2.6524184
622,00067_00001,100,100,2.7433939
623,00068_00001,100,80,2.0038679
624,00068_00002,100,23.33,2.2085584
625,00071_00001,100,76.67,2.3889239
626,00071_00002,100,95,2.2476686
627,00072_00007,100,83.33,2.1227779
628,00073_00001,100,76.67,2.2882336
629,00074_00002,100,68.33,2.0820705
630,00074_00003,100,58.33,2.1210854
631,00074_00004,100,100,2.0253532
632,00074_00005,100,88.33,2.1453656
633,00075_00001,100,85,2.1034515
634,00076_00001,100,90,2.687073
635,00077_00001,100,63.33,2.2815569
636,00078_00002,100,98.33,2.1236058
637,00078_00003,100,100,2.111552
638,00079_00001,100,76.67,0.6410866
639,00079_00002,46,78.33,2.5748319
640,00080_00001,100,60,2.1215924
641,00081_00003,100,100,2.185728
642,00081_00004,100,76.67,2.0926663
643,00082_00003,46,68.33,2.6834515
644,00083_00001,100,96.67,2.7321371
645,00084_00001,100,73.33,2.0856499
646,00085_00001,100,45,2.0558581
647,00086_00001,100,96.67,2.3022376
648,00086_00002,100,40,2.0677715
649,00086_00003,100,90,2.1326802
650,00087_00001,100,96.67,2.317169
651,00087_00002,100,91.67,2.2564418
652,00088_00001,100,90,2.2602754
653,00089_00002,100,88.33,2.4813528
654,00089_00003,100,95,2.5671978
655,00089_00004,100,88.33,2.515774
656,00089_00005,100,88.33,2.3102213
657,00090_00001,100,66.67,2.214158
658,00091_00002,100,60,2.2561302
659,00092_00001,100,66.67,2.0630392
660,00092_00002,100,68.33,2.5024572
661,00093_00001,100,71.67,2.1294146
662,00094_00001,100,90,2.1514748
663,00094_00002,100,70,2.716667
664,00094_00004,100,88.33,2.1859522
665,00095_00001,100,83.33,2.1539767
666,00095_00002,100,90,2.1638919
667,00095_00004,100,61.67,2.0318332
668,00096_00002,100,78.33,2.0187379
669,00097_00001,100,86.67,2.1818061
670,00098_00001,100,75,2.178508
671,00098_00002,100,65,2.2330456
672,00099_00002,100,95,2.0541188
673,00099_00003,100,86.67,2.1547655
674,00100_00001,100,98.33,2.1394227
675,00101_00001,100,71.67,2.1810021
676,00102_00001,100,83.33,2.5125159
677,00102_00002,100,80,2.2754835
678,00102_00003,100,58.33,2.0898029
679,00103_00001,100,56.67,2.2628383
680,00103_00002,100,46.67,2.1445487
681,00104_00002,100,76.67,2.0686761
682,00105_00001,100,50,2.1002029
683,00106_00001,100,66.67,2.0988197
684,00107_00001,100,88.33,2.0819472
685,00108_00002,100,80,2.2480228
686,00108_00003,100,93.33,2.1052577
687,00108_00004,100,63.33,2.1093927
688,00109_00001,100,63.33,2.3113284
689,00110_00006,100,43.33,2.2637841
690,00111_00001,100,70,2.3146539
691,00112_00001,100,58.33,2.3003497
692,00112_00002,100,65,2.281027
693,00112_00003,100,65,2.3052633
694,00113_00001,100,95,2.1211981
695,00114_00004,100,36.67,2.1922743
696,00115_00001,100,81.67,2.1479309
697,00116_00001,100,70,2.1158702
698,00117_00001,100,93.33,2.0635863
699,00118_00002,100,50,2.1950422
700,00119_00001,100,58.33,2.2300064
701,00120_00002,100,50,2.1073677
702,00120_00003,100,73.33,2.3347739
703,00013_00001,100,46.67,0.5384549
704,00013_00003,100,63.33,0.5725838
705,00013_00004,100,46.67,0.4811618
706,00013_00005,100,68.33,0.559105
707,00014_00004,73,41.67,0.5806399
708,00014_00005,73,48.33,0.540721
709,00014_00008,73,40,0.5497196
710,00014_00009,20,33.33,0.5799524
711,00014_00010,6,16.67,0.5447786
712,00014_00011,73,25,0.5456878
713,00014_00012,73,61.67,0.4722427
714,00014_00015,100,43.33,0.5518081
715,00017_00002,13,63.33,0.484453
716,00025_00001,66,53.33,0.5213885
717,00044_00003,0,46.67,2.3907842
718,00051_00003,0,20,0.5850042
719,00072_00001,0,56.67,2.1270553
720,00072_00002,0,28.33,2.2150923
721,00072_00003,0,53.33,2.315588
722,00072_00004,0,45,2.2144603
723,00072_00005,0,46.67,2.1712355
724,00072_00006,0,46.67,2.1617626
725,00074_00001,0,6.67,2.1834652
726,00078_00001,66,40,2.0374373
727,00081_00001,100,38.33,2.1952575
728,00091_00001,66,73.33,2.1142909
729,00096_00001,100,70,2.2147516
730,00104_00001,100,58.33,2.0172261
731,00110_00001,100,61.67,2.3556913
732,00110_00002,100,61.67,2.1649548
733,00110_00003,100,61.67,2.1820189
734,00110_00004,100,70,1.963578
735,00110_00005,100,61.67,2.2165014
736,00118_00001,66,63.33,2.0888367
737,00120_00001,0,46.67,2.1756381
738,00001_00001,46,6.67,0.5205871
739,00001_00002,46,20,0.5860279
740,00001_00003,73,13.33,0.5490439
741,00001_00004,46,36.67,0.5374885
742,00010_00001,100,63.33,0.5553977
743,00012_00001,0,30,0.5352404
744,00012_00002,0,0,0.5230375
